name,address,phone,Latitude,Longitude,Accuracy Score
Little River Baptist Church Food Pantry,"259 Northport ave, Belfast, ME 04915",207-589-4557,44.39698627,-68.98760309,1
Greater Belfast Area Ministerial Food Cupboard,"23 Mill Lane, Belfast, ME 04915",207-338-5575,44.43520376,-68.99868288,1
Belfast Church of the Nazarene Food Pantry,"95A Swan Lake Ave, Belfast, ME 04915",207-338-3740,44.446666,-69.000327,1
Belfast Soup Kitchen,"9 Field Street Unit 124 A, Belfast, ME 04915",(207) 338-4845,44.404619,-69.040297,0.33
First Baptist Church Food Pantry,"321 Pond Rd. Mount Vernon, ME 04352",207-293-2273,44.461522,-69.986762,0.22
Sidney Food Cupboard,"3018 West River Rd-2nd Baptist Church, Sidney, ME 04330",207-547-3543,44.413123,-69.728934,0.27
Belgrade-Rome Special Needs Food Pantry,"6 Manchester Rd. Belgrade, ME 04917",207-495-2258,44.46049989,-69.84686489,1
Table of Plenty Food Kitchen,"37 School St. Berwick, ME 03901",(207) 698-9771,43.26855,-70.86213,0.33
Bethel District Exchange,"19 Philbrook Street, Bethel ME 04217",(207)836-3701,44.40651747,-70.78910455,1
Friends of Community Action Food Pantry,"162 Elm Street, Biddeford, ME 04005",207-282-4771,43.4943722,-70.4596142,1
Stone Soup Food Pantry,"316 Main Street, Biddeford, ME 04005",207-283-0055,43.49526617,-70.46063217,1
Bingham Area Food Pantry,"Owens Street - St Peter's Rectory Basement, Bingham, ME 04920",207-672-4015,,,0
Tree of Life Food Pantry,"23 South Street, Blue Hill, ME 04614",207-374-2900,44.405663,-68.5946294,1
Boothbay Region Food pantry,"1 Eastern Avenue (Congregational Church), Boothbay, ME 04537",207-633-4952,43.894903,-69.627163,0.33
Boothbay Region Food Pantry,"125 Townsend Ave. Boothbay Harbor, ME - 04538",207-633-4757,43.85559,-69.62324,0.22
Brewer Christian Food Cupboard,"71 Center Street Brewer, ME 04412",207-949-4944,44.79733508,-68.76263153,1
Brewer Area Food Pantry,"222 North Main Street, Brewer Maine, 04401",207-605-1144,44.848517,-68.850405,0.22
Bridgton Food Pantry,"98 Main St. Bridgton, ME 04409",207-647-4476,,,0
St. Joseph's Food Pantry,"225 South High St. Brigdton, ME 04409",207-653-9522,,,0
Brownfield Food Pantry,"701 Pequaket Trail, Brownfield, ME - 04010",207-935-2333,43.93813,-70.90868,0.33
Midcoast Hunger Prevention Program Soup Kitchen,"84A Union St. Brunswick, ME 04011",207-729-8647,43.911502,-69.96743,1
Buckfield Food Pantry,"56 Turner St. Buckfield, ME - 04220",(207) 336-2230,44.286456,-70.359907,1
Buxton Food Coop,"262 Hanes Meadow Rd, Buxton, ME 04093",207-929-8806,43.66702,-70.60311,0.22
Irene Chadbourne Ecumenical Food Pantry,"513 Main St. Calais, ME 04619",207-454-8238,45.1873595,-67.27288415,0.8
Calais Church of God Food Ministries,"3 Germain St. Calais, ME 04619",207-454-0938,45.1869385,-67.2731385,1
Camden Area Christian Food Pantry,"128 Mount Battie St. Camden, ME 04843",207-236-9790,44.2221906,-69.08217547,0.8
Canaan Community Food Bank,"272 Main St. Canaan, ME - 04924",207-474-5408,44.76192986,-69.56303186,1
Canton Food Pantry,"Canton Fire Station, Canton, ME 04221",207-597-2694,41.834265,-72.891768,0.53
United Baptist Food Pantry,"74 High St. Caribou, ME 04736",207-496-7881,46.8606115,-68.009534,1
St. Louis Ecumenical Food Pantry,"31 Thomas Ave. Caribou, ME 04736",207-498-2536,46.856578,-68.007044,1
Caribou Bread of Life Soup Kitchen,"60 Collins St. Caribou, ME 04736",207-493-4858,46.86175867,-68.01750867,1
Goodwill Food Pantry,"872 Main Street Lot 89, Caribou, ME 04736",207-496-4201,46.87331971,-68.01227486,1
Family Food Pantry of Carmel,87 Damascus Rd. Carmel ME 04419,207-659-9942,44.80620488,-69.0649975,1
Carmel Food Cupboard,"4 Plymouth Rd. Carmel, ME 04419",207-848-7111,44.80955975,-68.97454825,1
Town of Carthage Food Pantry,"703 Carthage Rd. Cathage, ME 04224",207-562-8874,44.63444082,-70.44475749,1
Casco Village Church,"941 Meadow Road, Casco, ME 04015",207-627-4282,44.00441622,-70.52198717,1
Casco Alliance Church Food Pantry,"450 Roosevelt Trail, Casco, ME 04015",207-655-4054,43.93469974,-70.54119052,1
River Rock Christian Fellowship Food Pantry,"65 Rive Rd. Chelsea, ME 04330",207-622-7031,44.250347,-69.717266,0.27
Weald Bethel Food Pantry,"6 Weald Bethel Lane #6, Cherryfield, ME 04622",207-546-7424,44.59150967,-67.92526638,1
Sea Coast Mission Pantry,"36 Weald Bethel Lane, Cherryfield, ME 04622",207-546-7424,44.59107967,-67.92619919,1
Chester Baptist Food Pantry,"61 Pea Ridge Road, Chester, Maine 04457",207-794-2541,45.40932486,-68.50802614,1
China Community Food Pantry,"1320 Lakeview Drive, China ME 04926",207-968-2421,44.47868,-69.51726,0.33
Clifton Community Food Bank,"742 Airline Rd. Clifton, ME - 04428",207-584-2448,44.817785,-68.518743,1
Topsfield Congregational Food Pantry,"12 Vanceboro Rd. Codyville PLT, ME - 04490",207-796-2747,45.43468535,-67.70838438,1
Safe Place Food Pantry,"328 Main Street Corinth, ME - 04427",207-299-7671,45.00192831,-69.02263662,1
Riverside UMC Food Pantry,"5 School Street Cornish, ME ",207-625-4324,43.77397,-70.791727,0.33
Cornville/Athens Food Cupboard,"493 West Ridge Road, Cornville, ME - 04976",207-654-3071,44.837116,-69.67348586,1
Cumberland/North Yarmouth Community Food Pantry,"Cumberland Town Hall, 290 Tuttle Road, Cumberland, ME 04021",207-829-2205,43.78970788,-70.2449515,1
Town of Danforth Food Pantry,"62 Depot Street Danforth, ME 04424",207-448-2611,45.65933788,-67.86617275,1
Island Food Pantry,"17 Woods Rd. Deer Isle, ME 04627",207-348-6067,44.213503,-68.711691,0.22
New Hope Baptist - Dexter Food Closet,"130 Spring Street Dexter, ME 04390",207-924-7419,,,0
Corinna UMC Food Pantry,"16 Dexter St. Dexter, ME 04390",207-278-2186,,,0
Dixfield Food Pantry,"2 Chapel Rd. Dixfield, ME 04224",207-562-7470,44.540241,-70.379824,1
St. Stephen's Food For Life Pantry,"424 Sokokis Trail E Waterboro, ME - 04030",207-637-3226,43.596921,-70.689681,0.22
St. Mary's Food Pantry - Eagle Lake CCM,"Church Street, Eagle Lake  ME 04739",207-444-5404,,,0
Tri-Town Baptist Food Pantry,"East Millinicket, ME",207-746-2211,45.62555,-68.57388,0.67
Friends Helping Friends - Easton Branch,"23 Station Rd. Easton, ME 04740",207-488-2481,46.65032771,-67.91064319,1
Labor of Love Food Pantry,"9 Janney St. Eastport, ME 04631",207-853-2373,44.92978053,-67.02770131,1
Loaves and Fished Food Pantry,"119 Bucksport Rd Ellsworth, ME, 04605",207-667-4363,44.53912406,-68.43800481,1
Emmaus Center Food Pantry,"51 Main Street Ellsworth, ME 04605",207-667-3962,44.552391,-68.397109,1
Next Step Food Pantry,"733 Bangor Rd Ellswort, ME 04605",207-255-4934,44.5876673,-68.49902297,1
Stratton-Eustis Food Pantry,"Rte 27 Eustis, ME 04982",207-246-6231,45.14117,-70.44062,0.22
Fairfield Interfaith Food Pantry,"21 High Street, Fairfield, ME 04937",207-453-2780,44.58447775,-69.601759,1
Falmouth Food Pantry,"271 Falmouth Rd. Falmouth, ME 04105",207-632-2687,43.73334217,-70.27981183,1
Safe Voice,"200 Livermore Falls Road Farmington, ME 04938",207-7795-6744,44.62266309,-70.16009074,1
Care and Share Food Closet,"508 Fairbanks Rd. Farmington, ME 04938",207-7795-6744,44.6978805,-70.16053731,1
Fayette Baptist Church Food Pantry,"39 Baldwin Hill Fayette, ME 04349",207-685-9492,44.408956,-70.033665,0.27
Friends Helping Friends ,"94 Presque Isle Street, Rt 1A Fort Fairfield, ME - 04742",207-472-3041,46.746453,-67.841507,0.22
Greater Fort Kent Ecumenical Food Pantry,"229 West Main Street Suite 103 Fort Kent, ME 04743",207-834-5496,47.26484,-68.58101,0.22
ACAP Food Pantry,"40 Alfafa Avenue Suite 102 Fort Kent, Me 04743",207-834-5135,47.26484,-68.58101,0.22
Freeport Community Services Food Pantry,"53 Depot Street, Freeport, ME 04032",207-865-3985,43.8547875,-70.1044805,1
St. Luce Social Action Food Pantry,"45 US Route 1 Frenchville, ME 04745",207-543-7447,47.282101,-68.388783,0.33
Friendship-Cushing Food Pantry,"3 Main St Friendship, ME 04547",207-832-9989,43.98482208,-69.33285046,1
Fryeburg Assembly of God Food Pantry,"8 Drift Rd. Fryeburg, ME 04037",207-935-3129,44.01628136,-70.984842,1
Grace Baptist Church Food Pantry,"108 Spring Street Gardiner, ME  04345",207-582-5087,44.232813,-69.773004,1
South Gardiner Baptist Church Food Pantry,"641 River Ave Gardiner, ME 04345",207-582-3751,44.1844501,-69.75688594,0.8
Samaritan Inc. Glenburn,"911 Hudson Rd - Glenburn Covenant Church Glenburn, ME 04401",207-200-4747,44.903967,-68.845084,1
Life Line Ministries Food Pantry,"269 South Gouldsboro Rd Gouldsboro, ME - 04607",207-664-4824,44.459784,-68.102848,1
St. Peter Chanel Food Pantry (CCM),"70n Main St. Van Buren, ME 04785",207-868-2805,47.126641,-67.923835,1
St. Gerard/Mt. Carmel Food Pantry,1009 Main Street Grand Isle Grand Isle ME  04746,207-895-6995,47.30532,-68.15198,0.22
Greene Baptist Church Food Pantry,102 Main St. Greene ME 04236,207-946-5505,44.1895963,-70.1417682,1
Guilford Economic Partnership Food Pantry,"31-L High Street Guilford, ME 04443",207-518-8833,45.17210383,-69.38779433,1
Hallowel Food Bank Inc,"Perley's Lane Hallowell, ME 04347",207-622-3039,44.2859,-69.79088,0.67
St. Joseph's Parish Food Pantry - Hamlin,"1837 Van Buren Road Hamlin, ME 04750",207-868-5495,47.03335864,-67.8062124,1
Oasis Food Pantry ,"72 Laskey Lane, Hampden, ME 04444",207-862-4287,44.75141906,-68.83698085,1
Harrison Food Pantry,"886 Edes Falls Rd. Harrison, ME 04040",207-712-1384,44.06031871,-70.62406098,1
Hartford Food Bank,"Church St, Hartford, ME 04221",207-224-8186,,,0
Tri-town Food Cupboard,"9 A Hubbard Avenue Hartland, ME  04943",207-938-2244,44.88152,-69.45866,0.33
Haynesville Town Office Food Pantry,"16 Danforth St. Haynesville, ME 04497",207-448-2239,45.64062,-68.07557,0.22
"Samariton, Inc. Hermon","Hermon Baptist Ch. - 249 Rt. 2 Hermon, ME 04401",207-200-4747,44.81007,-68.913372,0.27
Hollis Center Baptist Food Pantry,"388 Hollis Rd. Hollis Center, ME 04042",207-929-4711,43.584232,-70.624391,0.22
St. Mary's Food Pantry - Houlton,"110 Military Street Houlton, ME 04730",207-532-9122,46.1249818,-67.825829,1
Houtlon Band of Maliseet Indians Food Pantry,"13 Clover St. Houlton, ME 04730",207-532-7260,46.121345,-67.833009,0.33
Hope and Justice Project,"10 Chalrles St. Houlton, ME 04730",207-521-0047,46.121345,-67.833009,0.33
Howland United Methodist Church Food Pantry,"37 Coffin St. Howland, ME 04448",207-732-3954,45.235388,-68.659882,1
Samaritan Inc. - Hudson,"2334 Hudson Rd - Hudson Town Hall, Hudson, ME 04401",207-200-4747,44.848517,-68.850405,0.22
St. Anne/ Penobscot Nation DhS Food Pantry,"1 Church Street Indin Island, ME 04468",207-817-7492,45.040655,-68.722962,0.22
Clearwater Ministries - Clearwater Food Pantry,"West Mills Rd. Industry, ME 04938",207-778-4523,44.650311,-70.129267,0.67
Agape Food Pantry,"81 Cleaves Street, Island Falls Maine 04747",,46.01054282,-68.27176859,1
Jackman Food Cupboard,"369 Main St. jackman, ME  04945",207-668-2111,45.620613,-70.248288,1
Jackson Church Food Pantry,"538 Village Rd. Jackson, ME 04921",207-722-3205,44.62341283,-69.09898317,1
Jefferson Area Food Bank,"16 Waldoboro Road Jefferson, Me 04348",207-549-5361,44.20439871,-69.47525886,1
Jonesport Food Pantry,"Sawyer Square  Jonesport, ME 04649",207-497-5947,44.53286,-67.59833,0.67
Samaritn Inc. - Kenduskeag,"3964 Rt 15 - Kenduskeag Grange Hall Kenduskeag, ME 04401",207-200-4747,44.848517,-68.850405,0.22
Church Community Food Bank,"34 Portland, Rd. Kennebunk, ME 04034",207-967-3613,44.408078,-70.470703,0.22
Kennebunk Social Services,"Kennebunk, ME 04093",207-985-3786,43.66702,-70.60311,0.67
Table of Plenty Food Kitchen,6 Whipple Rd. Kittery ME 03904,(603) 767-2319,43.0886585,-70.74127017,0.8
Seeds of Faith,"2 Deer Ridge Lane Kittery, ME 03904",(207) 475-2155,43.09161,-70.73741,0.33
Footprints Food Pantry,"37 Old Post Rd. Kittery, ME 03904",207-439-4673,43.09161,-70.73741,0.33
Happy Time Food Pantry,"171 Knox Rdg St Knox, ME 04568",207-382-6181,43.86397,-69.56116,0.22
Leeds Food Pantry,"123 Church Hill Rd. Leeds, ME 04236",207-524-5444,44.189655,-70.136683,0.22
Trinity Church Jubilee Center,"247 Bates Street Lewiston, ME 04240",207-782-5700,44.092932,-70.21182,1
St. Mary's Food Pantry ,"208 Bates St. Lewiston, ME 04240",(207) 513-3841,44.096044,-70.213741,1
Salvation Army,"67 Park Street Lewiston, ME 04240",207-783-0801,44.0976953,-70.216664,1
Hope Haven Mission,"209 Lincoln Street Lewiston, ME 04240",207-783-6086,44.090114,-70.217413,1
100 Pine Street Social Center,"100 Pine Street Lewiston, ME 04240",207-795-6040,44.096882,-70.211143,1
AMVETS Memorial Post 150 Food Pantry,"Main Street Liberty, ME 04949",207-589-4218,44.38924,-69.30282,0.67
St. Matthews Food Pantry,19 Dora Lane Limerick ME 04048,207-793-2244,43.69804582,-70.78125153,1
Morning Star Ministries Food Pantry,"143 Washington Street Limerick, ME 04048",207-793-8444,43.696965,-70.787291,1
Limington Congregational Food Pantry,"302 Sokokis Ave Limington, ME 04049",207-637-2061,43.73248406,-70.70429038,1
Lincoln Regional Food Cupboard,"32 Park Avenue Lincoln, ME 04457",207-794-2569,45.36340469,-68.5175125,1
Lisbon Area Christian Outreach (LCAO),"Marion T. Morse Community Center Lisbon Falls, ME 04250",207-353-6002,44.033026,-70.101247,0.67
Litchfield Communitu Food Bank,"1891 Hallowell Rd -Lichfield Road Litchfield, ME 04350",207-268-4631,44.158104,-69.95404,0.33
Lyman/Dayton Community Food Pantry,"421 Waterhouse Rd. Lyman, ME 04002",207-499-0149,43.467224,-70.738992,0.22
Centre Street Food Pantry,"7 Center Street Machias, ME 04654",207-255-6665,44.71590236,-67.45809564,1
St. Thomas Aquinas/St. David Food Pantry,"105 12th Avenue Madawaska, ME 04756",207-728-3209,47.350921,-68.332275,1
People Who Care Food Cupboard,"108 Old Point Ave  Madison, ME 04950",(207) 696-3971,44.787571,-69.88312578,1
Mars Hill Community Cupboard,"10 ACI Street Mars Hill, ME 04758",207-429-8043,46.551571,-67.84817,0.22
Bread of Life Food Pantry,"90 Lewiston Rd. Mechanic falls, ME 04256",207-345-9501,44.11218,-70.39415,0.22
GRAMPA Food Pantry,"163 Main St. Mexico, ME 04257",207-364-8185,44.5554455,-70.5399885,1
I Care Ministries Food Pantry,"45 Spring St. Millinicket, ME 04462",207-723-7977,45.65880383,-68.70706967,1
Monmouth United Church Food Pantry,"776 Main Street Monmouth, ME 04259",207-933-2502,44.24338974,-70.03403571,1
First Baptist Food Pantry,"321 Pond Rd. Mount Vernon, ME 04352",207-293-2273,44.461522,-69.986762,0.22
CrossWalk Community Outreach (Kyrie's Kitchen),125 State Park Rd. Naples 04055,207-615-3226,43.945822,-70.590763,1
Naples Food Pantry,"1000 Roosevelt Trail Naples, ME 04055",207-595-2754,43.97004508,-70.59872937,1
New Harbor Food Pantry,"10 Harbor Hill Road (United Methodist Church) New Harbor, ME 04554",207-677-3424,43.87592,-69.49005,0.22
New Sweden Food Pantry (Lord's Pantry First Baptist Church),"17 Westmanland Road New Sweden, ME 04762",207-896-3392,46.94164403,-68.13698993,1
Newburgh Full Gospel Food Pantry,"363 Lindsay Road Newburgh, ME 04444",207-944-5436,44.74247533,-69.01261656,1
Ecumenical Food Pantry,"51 Main Street or Business Route 1 Newcastle, ME 04553",207-563-1133,44.03508,-69.53671,0.33
Newport Cooomunity Food Bank,"26 High Street Newport, ME 04953",207-368-5292,44.838096,-69.278194,1
Smithfield Food Pantry,"926 Village Road (Town Office) Smithfield, ME 04978",207-362-4772,44.64481344,-69.82085,1
Norridgewock Community Food Cupboard,"227 Waterville Rd. Norridgewock, ME 04957",207-362-4772,44.7053065,-69.77019475,1
New Covenant Food Pantry,"285 Maple Street North Berwick, ME 03906",207-676-3332,43.340626,-70.753996,0.22
North Haven Food Pantry,"305 Main Street North Haven, ME 04853",207-867-4715,44.12814,-68.8742,0.22
North Monmouth Food Pantry,"151 N Main St. North Monmouth, ME 04265",207-933-2400,44.27785,-70.03089,0.22
Turner Food Pantry,"Route 219 North Turner, ,ME 04266",207-224-7781,44.357987,-70.255783,0.22
Northport Food Pantry,"491 Atlantic Highway Northport, ME - 04849",207-338-2868,44.32669091,-68.95995443,1
Oxford Hills Food Pantry,"16 Green Street Norway, ME 04268",207-739-2866,44.21175827,-70.53115171,1
Oakland Food Bank,"20 West School Street (United Methodist Church) Oakland, ME 04963",207-649-4811,44.54987,-69.70784,0.22
Salvation Army Food Pantry,"2 Sixth Street Old Orchard, ME 04064",207-934-4381,43.52395,-70.39069,0.22
Oakland Soup and Sandwich Kitchen,"35 Church Street Oakland, ME 04963",207-465-9037,44.545749,-69.720233,1
Jeanne Davis Memorial Food Pantry,"Washington Ave Old Orchard Beach, ME 04064",207-934-5553,43.52395,-70.39069,0.67
Holy Parish Food Pantry,"429 Main Street Old Town, ME 04468",207-827-4000,44.92358313,-68.64232293,1
Orient Food Pantry,"82 School House Road Orient, ME 04471",207-448-7729,45.817,-67.84001,0.33
HOME Co-op Food Pantry,"90 School House Rd. Orland, ME 04472",207-469-7961,44.57035,-68.73586,0.33
Bucksport Community Concerns,"143 Peaceful Valley Orland, ME 04472",207-469-6254,44.57035,-68.73586,0.33
What's For Suppa And Food Pantry,"1268 Otis Road Ottis, ME 04605",207-537-5950,44.74022976,-68.45739088,1
Oxford SDA Food Pantry,"259 Fore St. Oxford, ME 04270",207-890-5739,44.1789455,-70.5139785,1
Passomaquoddy Food Pantry,"Route 190 Perry, ME 04667",207-853-2600,45.013348,-67.097043,0.22
Servant's Heart Food Pantry,"98 Main St. Peru, ME 04290",207-562-7167,44.52103127,-70.46781423,1
Phillips Area Food Pantry,"15 Russell St. Phillips, ME 04966",207-639-4287,44.82407429,-70.34331257,1
Poland Community Church Food Bank,"1212 Maine Street, Poland, ME 04274",207-998-4069,44.06361971,-70.39712406,1
Riverside UMC Food Pantry,"5 School St Rts. 25 and 106 Porter, ME 04091",207-625-4324,43.83313,-70.77784,0.22
Root Cellar,"4 Washington Ave Portland, ME 04101",(207) 774-3197,43.663908,-70.25138071,1
Preble Street Resource Center Soup Kitchen and Food Pantry,"252 Oxford St. Portland, ME 04141",(207) 775-0026,,,0
Preble Street Teen Center Soup Kitchen,"343 Cumberland Avenue, Portland, ME  04101",(207) 775-0026,43.658784,-70.262393,0.33
White Memorial Food Pantry,"97 Allen Ave Portland, ME 04103",207-797-4414,43.692122,-70.292765,1
St. Vincent De Paul Soup Kitchen and Food Pantry,"307 Congress St. Portland, ME 04101",207-772-1113,43.66099541,-70.25379041,1
St. Luke's Food Pantry,"143 State St. Portland, ME 04101",207-772-5434,43.65237688,-70.26580938,1
Seventh Day Adventist Church Pantry,"97 Allen Ave Portland, ME 04103",207-776-0867,43.692122,-70.292765,1
Salvation Army Food Pantry,"297 Cumberland Avenue Portland, ME 04101",207-774-6304,43.658784,-70.262393,0.33
Sacred Heart/St. Dominic Food Pantry,"80 Sherman St Portland, ME 04101",207-929-3088,43.65587228,-70.26821636,1
 Project Feed Food pantry,"202 Woodfords Street, Portland, ME 04103",207-761-3920,43.68826,-70.289844,0.33
Jewish Community Services Food Pantry,"57 Ashmont St. Portland, ME 04103",207-772-1959,43.667712,-70.28233022,1
Front Street Pantry,36 West Presumpscot St. Portland ME 04101,207-450-3579,43.658784,-70.262393,0.33
First Baptist Church Food Pantry,"360 Canco Rd. Portland, ME 04103",207-773-3123,43.6903611,-70.27809445,1
M and M Ministries - Food Pantry,"21 Parsons Street Presque Isle, ME -04769",207-764-0758,46.715072,-68.012557,0.22
GIFT Grace Interfaith Food Table,"24 Industrial St. Presqu Isle, ME 04769",207-764-8584,46.715072,-68.012557,0.22
Indian Township Food Pantry,"197 US Route 1 Princeton, ME 04668",207-796-2301,45.209229,-67.575432,0.33
Prospect Community Food Pantry,"Bangor Rd. Prospect, ME 04981",207-223-5757,44.48952,-68.85698,0.67
Church of Good Shepherd,"Main Street (Episcopal Street) Rangeley, ME 04983",207-864-3394,44.814175,-70.187221,0.67
Raymond Food Pantry,"71 Main Street Raymond, ME 040171",207-655-5058,,,0
Lord's Cupoboard Food Pantry,"874 Main Street Readfield, ME 04355",207-685-4572,44.38572481,-69.94509345,1
Shepherd of Faith Food Pantry,"main Street Richmond, ME 04357",207-737-2017,44.108059,-69.827489,0.67
Richmond Area Food Pantry,"121 Pleasant Street C/O DRUM Church, Richmond, ME 04357",207-607-2777,44.108059,-69.827489,0.33
Loaves and Fished Food Pantry,"91 Camden St. Rockland, ME 04841",207- 594-8807,44.11736327,-69.10337673,1
Area Interfaith Outreach,"70 Thomaston St. Rockland, ME 04841",207-596-1043,44.0942,-69.115206,1
Salvation Army Food Pantry,"27 Payne Avenue (Route 1), Rockland, ME 04841",207-594-5326,44.10369,-69.10893,0.33
Apostolic Church of Rumford,"135 South Rumford Road Rumford, ME 04276",207-364-7747,44.52198762,-70.53916723,1
Community Free Baptist Food Pantry,"9 Main St. Sabattus, ME 04280",207-375-4337,44.11959178,-70.10780611,1
Loaves and Fishes Food Pantry,"61 Lisbon St. Sabattus, ME 04280",207-375-8399,44.048021,-70.1206725,1
Saco Community Meals Program,"271 Main St Saco, ME 04072",207-282-3321,43.49877688,-70.44489745,0.8
United Methodist Economic Ministry Food Bank,"1458 Salem Road Salem, ME 04983",207-678-2611,44.903871,-70.260424,1
Salvation Army Food Pantry,"871 Main Street Sanford, ME 04073",207-324-3134,43.440928,-70.77776875,1
Sanford Food Pantry,"29 River St. Sanford, ME 04073",207-324-8867,43.444953,-70.774962,1
Scarborough Food Pantry,"167 Black Point Road, Scarborough, ME 04074",207-799-3536,43.575117,-70.31955,1
No Greater Love Food Pantry,"3 Brierly Lane Scarborough, ME 04973",207-323-2379,44.357201,-69.215906,0.22
Searsport Congregational - Methodist Food Pantry,"Main Street Searsport, ME 04974",207-548-6204,44.489412,-68.933051,0.67
Shapleigh Food Pantry,"600 Shapleigh Corner, Shapleigh, ME 04076",207-636-2843,43.54064,-70.84812,0.33
Upper Valley Economic Corporation,"Sherman Municipal Building, Sherman, ME 04776",(207) 365-7631,,,0
St. Joseph Parish Food Pantry Sinclair,"413 Lake Shore Rd. Sinclair, ME 04772",207-543-6634,47.263956,-68.335025,0.22
Skowhegan Community Food Pantry - Food Cupboard,"16 Cariani Street Skowhegan, ME - 04976",(207) 474-9249,44.769303,-69.593975,0.33
Trinity Evangelical Free Church,"12 McClellan ST Skowhegan, ME - 04976",207-474-8833,44.769303,-69.593975,0.33
Smithfield Food Pantry,"926 Village Road (Town Office) Smithfield, ME 04978",207-362-4772,44.64481344,-69.82085,1
Solon Food Closet,"Corner of School and Pleasant Streets, Solon, ME 04979",207-643-2855,41.52858,-109.46625,0.67
South Berwick Community Food Pantry,"Goodwin St. South Berwick, ME 03098",207-384-3310,,,0
Families in Crisis Task Force,"659 Park Street South Paris, ME 04281",207-357-7072,44.21899,-70.51127,0.22
South Portland Food Cupboard,"611 Main Street South Portland, ME 04106",207-874-0379,43.627364,-70.289248,0.22
St. Charles Food Pantry,"912 Main Street St. Francis, ME 04743",207-834-5656,47.26484,-68.58101,0.22
Standish Connection Congregational Food Pantry,"25 Oak Hill Road Standish, ME - 04084",207-642-2158,43.736182,-70.5522395,1
Catherine's Cupboard,"175 Northeast Rd. Standish, ME - 04084",207-893-7790,43.74268459,-70.54371303,1
Starks Food Cupboard,"Chicken Street Starks, ME 04911",207-696-4337,44.81062,-69.912885,0.67
Congregational Church of East Sumner Food Pantry,"50 Main St Sumner, ME 04292",207-388-2610,44.3566975,-70.377484,1
Bread of Life Food Pantry,"Old Firehouse Road Swans Island, ME - 04685",207-526-4347,44.15842,-68.42946,0.67
Sweden House Food Pantry,"137 Bridgton Rd Sweden, ME - 04070",(207) 256-7380,43.576983,-70.273642,0.22
Thomaston Interchurch Fellowship Food Pantry,"246 Main Street 2nd floor Thomaston, ME - 04862",207-273-2676,44.21147,-69.27421,0.22
Stauron Ministries/ Family Christian Fellowship Food Pantry,"655 Augusta Rd. Topsham, ME - 04086",207-729-4688,43.98992953,-69.95411086,1
Come Spring Food Pantry,"715 Sennebec Rd. Union, ME - 04862",207-785-4730,44.21147,-69.27421,0.22
Vassalboro Food Station Food Pantry,"679 Main St. Vassalboro, ME - 04562",207-873-7375,43.789616,-69.810821,0.22
Volunteer regional Food Pantry,"School St. Unity, ME 04988",207-948-6232,44.601175,-69.357191,0.67
Vinalhaven Food Pantry,"56 West Main Street, Vinalhaven, ME - 04863 ",207-863-2099,44.047488,-68.83461,1
